ticket_id,description,cleaned_description,entities,sentiment_score,sentiment_label,order_number,intent
39,This physics based game is perfect for people of all ages to spend extra time on a mobile device. Yet it still offers some challenge. It works very well on the kindle fire.,physics base game perfect people age spend extra time mobile device offer challenge work kindle fire,[],0.748,neu,,general_comment
40,"This seems to be popular when my kindle fire is out of my hands.  Lots of fun and free time for me plus the graphics are very, very nice.",popular kindle fire hand   lot fun free time plus graphic nice,[],0.613,pos,,positive_feedback
41,This so much fun! My daughter has vthis app for her IPhone but I never realized how much fun it is until I downloaded for my Kindle Fire. I highly recommend getting this app...works great on the Kindle Fire!,fun daughter vthis app iphone realize fun download kindle fire highly recommend get app work great kindle fire,"[('Kindle Fire', 'LOC'), ('the Kindle Fire', 'LOC')]",0.591,pos,,positive_feedback
42,"This was a very entertaining and challenging game with several levels to seek improvement. The ads did not overrun it and, for free, this was an excellent program.",entertaining challenging game level seek improvement ad overrun free excellent program,[],0.604,pos,,general_comment
43,"This was my first time to play Angry Birds and I don'tthink I could have had a better first impression!  Because of this, I will purchase every Angry Birds gameI can get my hands on!  Now I see what all the 'fuss' is about!!!",time play angry bird don'tthink well impression   purchase angry bird gamei hand   fuss,"[('first', 'ORDINAL'), ('Angry Birds', 'WORK_OF_ART'), ('first', 'ORDINAL')]",0.723,neg,,general_comment
44,this was one of the first apps I got on my kindle fire and I love playing it. it is great for passing the time. the ads don't bother me at all they are in a small little box at the top right of the screen and I hardly notice them. it is not worth paying ,app get kindle fire love play great pass time ad bother small little box right screen hardly notice worth pay,"[('first', 'ORDINAL')]",0.731,neu,,positive_feedback
45,This was the 1st app I ever downloaded on my Kindle Fire and I LOVE it! And you do not need wi-fi to play it!  I think it's a great app and time-waster.,1st app download kindle fire love need wi fi play   think great app time waster,"[('1st', 'ORDINAL'), ('Kindle Fire', 'LOC')]",0.668,neu,,positive_feedback
46,this was the best game of all time to come to a phone. I would put it up there with snake on the old nokia bricks.,good game time come phone snake old nokia brick,"[('nokia bricks', 'FAC')]",0.856,neu,,general_comment
47,"Very addictive. I can play this for hours. The first game I installed to my fire, and my most played.",addictive play hour game instal fire play,"[('this for hours', 'TIME'), ('first', 'ORDINAL')]",0.694,pos,,general_comment
48,"Very fun and challenges you, I always try and get three stars, nice graphics and gameplay, always a good way to kill time.",fun challenge try star nice graphic gameplay good way kill time,"[('three', 'CARDINAL')]",0.536,pos,,positive_feedback
49,Very fun and very addictingSo good u should pay money for itOnly winners play this game so get it!!!!!!!!!!!!!!!!!!!!!!!,fun addictingso good u pay money itonly winner play game,[],0.485,pos,,positive_feedback
50,very fun game and all the other people who say it freezes and don't work you must have to many games on you're. device,fun game people freeze work game device,[],0.824,neu,,positive_feedback
51,"very fun very fun very fun very fun, keeps me busy. I cannot stop playing. very challenging,  this game can make you angry,sometimes , but then I win.",fun fun fun fun keep busy stop play challenging   game angry win,[],0.513,pos,,positive_feedback
52,"Very high quality for a game. Fast, and crystal clear. Amazing that a game so popular, would be FREE! All levels to accomplish to become an Angry Birds Pro.~ Jessie",high quality game fast crystal clear amazing game popular free level accomplish angry bird pro.~ jessie,"[('Jessie', 'PERSON')]",0.54,pos,,positive_feedback
53,very very very very very very very very awesome &iexcl;!!!!! !!'! !!!!!!!! !!!!! !!!!! x. !&iexcl;!! cgdixjcv dnjdxjx gcfjxcb fvcv hxgrdh,awesome iexcl x. iexcl cgdixjcv dnjdxjx gcfjxcb fvcv hxgrdh,"[('x. !&iexcl', 'ORG')]",0.766,neu,,positive_feedback
54,"Watch out!  This is a very addicting game, but it is very fun for all ages!  Good way to kill time, or waste time.",watch   addicting game fun age   good way kill time waste time,[],0.505,neg,,positive_feedback
55,We all love this game.  It is fun for all ages.  We all cant wait till someone gets tired of it so we can get the tablet and play it.,love game   fun age   not wait till get tired tablet play,[],0.67,pos,,positive_feedback
56,We downloaded the free version for our tween's new Kindle Fire and everyone (from age 9 to 74) has had a blast playing the game which has many levels and challenges.  The graphics and sounds are great too.,download free version tween new kindle fire age 9 74 blast play game level challenge   graphic sound great,"[('Kindle Fire', 'LOC'), ('age 9 to 74', 'DATE')]",0.719,neu,,positive_feedback
57,Well I'm not what you would call a gamer but this game I found to be addicting. Makes me just nuts enough to try again when I fail.,gamer game find addict make nut try fail,[],0.73,neu,,general_comment
58,"What can I say that you probably don't already know, unless you've been living under a rock the last few years. It works like a champ on my kindle fire.",probably know live rock year work like champ kindle fire,"[('the last few years', 'DATE')]",0.771,neu,,general_comment
59,What can I say?  Ya Can't improve on perfection.  Great for traveling or times when you just need to relax.,  ya improve perfection   great travel time need relax,"[('Ya Ca', 'PERSON')]",0.563,pos,,positive_feedback
60,when angry birds space folding out on kindle fire? jrdhdhdh fhd dud Dvd dud db's dhdjsbd fhdbfjs sjdddhdx dud dud d,angry bird space fold kindle fire jrdhdhdh fhd dud dvd dud db dhdjsbd fhdbfjs sjdddhdx dud dud d,"[('db', 'GPE')]",0.523,neg,,general_comment
61,"Whenever I have probs operating a game, I will keep at it until I get at least 2 stars!  Helps pass the time, and helps to keep my mind active!",prob operate game 2 star   help pass time help mind active,"[('at least 2', 'CARDINAL')]",0.761,pos,,inquiry
62,When I first found about Angry Birds I didn't think much of it until I played it on my friends phone and then I was hooked. I got it for my Ipod and killed the battery on it. My husband bought me a Kindle Fire for Valentines day and playing Angry Birds o,find angry bird think play friend phone hook get ipod kill battery husband buy kindle fire valentine day play angry bird o,"[('first', 'ORDINAL'), ('Angry Birds', 'ORG'), ('Ipod', 'ORG'), ('a Kindle Fire for Valentines', 'ORG'), ('Angry Birds', 'ORG')]",0.689,neu,,general_comment
63,When I first got Angry Birds; I loved it and I couldn't stop playing it! I played it whenever I could. Hard levels that take a while to beat; sometimes I had to look up a walk-through to pass them. Plenty of levels. Once I completed all the levels; I sto,get angry bird love stop play play hard level beat look walk pass plenty level complete level sto,"[('first', 'ORDINAL'), ('Angry Birds', 'ORG')]",0.753,neu,,positive_feedback
64,When I first played this game I was hooked. I would spend hours just to defeat those pigs. My kids are even hooked on this game.,play game hook spend hour defeat pig kid hook game,"[('first', 'ORDINAL'), ('hours', 'TIME')]",0.816,neu,,general_comment
65,"When I have to wait to see say A doctor, DMV, the wife to get done shopping  and so on",wait doctor dmv wife shopping  ,"[('DMV', 'ORG')]",1.0,neu,,general_comment
66,"Who doesn't enjoy a classic game of angry birds, Tv shows do as they use the game. My friend's teach took her opossum away and started playing angry birds on it. LOL",enjoy classic game angry bird tv show use game friend teach take opossum away start play angry bird lol,"[('LOL', 'ORG')]",0.65,neu,,positive_feedback
67,who doesn't like angrybirds?but the paid version is better as it doesn't have all those annoying adds. blocking your shots!,like angrybirds?but pay version well annoying add block shot,[],0.601,neg,,general_comment
68,who doesn't like angry birds? i love angry birds! I don't know anyone who doesn't!  I love you angry birds! ! ! ! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,like angry bird love angry bird know   love angry bird,[],0.472,pos,,positive_feedback
69,who doesn't love this app. everyone is my family enjoys playing this gamealways have fun playing angrybirds hope theyp come upwith newbirds,love app family enjoy play gamealway fun playing angrybird hope theyp come upwith newbird,[],0.493,pos,,positive_feedback
70,"Why does anyone hate this? Wi-fi required?You need wi-fi to download,so why are you complaining?Ads?They're so tiny!How can they bother you at all!Can't download?That doesn't make the game stupid.This is the best game of all time!!!....at least,all time ",hate wi fi required?you need wi fi download complaining?ads?they're tiny!how bother all!can't download?that game stupid.this good game time!!! time,[],0.738,neu,,negative_feedback
71,why do people give it low scores the adds are not disruptive great free game get it do not listen to low scores,people low score add disruptive great free game listen low score,[],0.603,pos,,positive_feedback
72,"WISH I HAD NEVER DOWNLOADED THIS GAME!!!!  I AM PLAYING IT ALL OF THE TIME!!!!  SOMETIMES I GET SOOO 'ANGRY' AT ONE OF THE PUZZLES, BUT CONTINUALLY GO BACK FOR MORE.",wish download game   play time   sooo angry puzzle continually,"[('TIME', 'ORG'), ('ANGRY', 'ORG'), ('ONE', 'CARDINAL')]",0.81,neu,,general_comment
73,works great on my kindle fire.It was I think the second free app I loaded an works great still to this day._Never had one problem.,work great kindle fire.it think second free app load work great day._never problem,"[('second', 'ORDINAL'), ('one', 'CARDINAL')]",0.597,pos,,positive_feedback
74,WOW angry birds is soooooooo fun expecialy on my kindle fire I love It and if I love it than its the best game in the UNIVERSE!!!!!!!!!!!!!! :-))))))) LOVE G.sonnier,wow angry bird soooooooo fun expecialy kindle fire love love good game universe love g.sonni,"[('WOW', 'ORG'), ('UNIVERSE', 'ORG')]",0.489,pos,,positive_feedback
75,"Wow, its great. why do u people complain? trust me and get it. Trust me, I'm a doctor(as far as u know)",wow great u people complain trust trust doctor(as far u know,[],0.5,pos,,positive_feedback
76,yes ads are annoying but its FREE! I love to launch those birds at them pigs. It makes me feel all giddy inside ha!,yes ad annoying free love launch bird pig make feel giddy inside ha,[],0.52,pos,,positive_feedback
77,Yes. If you are looking for a game for the Fire. This is it. It's a fun game to play.,yes look game fire fun game play,[],0.597,pos,,positive_feedback
78,"yipee Angry Birds! I don't have a cell phone so I've been coveting this game ever since my niece showed me how to play. Thank you for offering this on the new Kindle Fire HD, loving it. 5 stars.",yipee angry bird cell phone covet game niece show play thank offer new kindle fire hd love 5 star,"[('Angry Birds', 'ORG'), ('Kindle Fire HD', 'FAC'), ('5', 'CARDINAL')]",0.697,neu,,positive_feedback
79,you can play this app all day and all night. the first day I got it a completed half of the levels! stop reading reveiws BUY IT!,play app day night day get complete half level stop read reveiw buy,"[('all day', 'DATE'), ('the first day', 'DATE'), ('half', 'CARDINAL'), ('BUY', 'ORG')]",0.828,neu,,general_comment
80,you get to kill all these pigs and once you start you cant stop Im usually always on it buy it or else,kill pig start not stop m usually buy,[],0.761,neu,,general_comment
81,"You have to get it because its a very very very fun! The persons who put 1star are crazy. It'd really stupid that they don't get it.Your wasting your time reading this, get this app or game now!",fun person 1star crazy stupid it.your waste time read app game,"[('1star', 'DATE')]",0.722,neg,,positive_feedback
82,"You know how the full version says, and I quote, Ad-Free? Well, this isn't the full version. This is the free version. And consider how the app only has ads to deal with - it doesn't restrict you to a certain amount of levels. It's not, as I call it, a s",know version say quote ad free version free version consider app ad deal restrict certain level s,[],0.832,neu,,inquiry
83,You will be so hooked and addicted to this game.Let me just say this is a very funnnn game and will not be able to stop playing.. have fun!!!!  (:,hooked addict game.let funnnn game able stop play fun  ,[],0.69,neu,,positive_feedback
84,you will love this game if you get it. if u gave this game less than a five star rating you would have to be a lunitic,love game u give game star rating lunitic,"[('less than a five', 'CARDINAL')]",0.861,neu,,positive_feedback
85,They call it three next mario??? Are the 'professional reviewers' high??? Ask you do is fling birds at bones again and again and again. Has zero replay value.,mario professional reviewer high ask fle bird bone zero replay value,"[('three', 'CARDINAL'), ('zero', 'CARDINAL')]",0.889,neu,,general_comment
86,"Angry People in my book!  Any moron who would waste their time playing azimuth slingshot and call it a cultural phenomenon is ... what is the word (???) ... oh yes, a moron!!!  Those 5 minutes I played this thing still scar me!",angry people book   moron waste time play azimuth slingshot cultural phenomenon word oh yes moron   5 minute play thing scar,"[('Angry People', 'PERSON'), ('Those 5 minutes', 'TIME')]",0.63,neu,,negative_feedback
87,Argry Birds is for free to play a games on your kindlefireBecause it for free. and to play right.,argry bird free play game kindlefirebecause free play right,[],0.568,pos,,general_comment
88,"cant stand this game. love the concept and played many of the same type. I have to give the developer credit for creating a ton of levels, keeps you going for hours. sounds are irritating. the constant chirps are annoying as heck, play this with the soun",not stand game love concept play type developer credit create ton level keep go hour sound irritate constant chirp annoying heck play soun,"[('a ton', 'QUANTITY'), ('hours', 'TIME')]",0.672,neu,,positive_feedback
89,Don't really know the point of this game.  It's almost impossible to knock the stupid birds down.  Why waste your time on this one?,know point game   impossible knock stupid bird   waste time,[],0.78,neu,,negative_feedback
90,Eden or mine craft will make apps more buy able. Eden and mine are fun fun fun. together we stand strong for our apps come come. lets fight for Eden and mine craft pocket addition. LETS GO ON STRIKE!!!this is madden.NO THIS IS FREEDEM OF APPS!!!!!!!!!!!!,eden craft app buy able eden fun fun fun stand strong app come come lets fight eden craft pocket addition let strike!!!this madden.no freedem app,"[('Eden', 'LOC'), ('Eden', 'LOC')]",0.707,neu,,positive_feedback
91,first the game is ok not great. second it is way over rated all it is is a sling shot and you use birds to kill pigs...over rated,game ok great second way rate sling shot use bird kill pig rate,"[('first', 'ORDINAL'), ('second', 'ORDINAL')]",0.71,neu,,positive_feedback
92,Game is rather...retarded for lack of a better word.  Wouldn't and haven't recommended to anyone as I dont know anyone that would bother with it.,game retarded lack well word   recommend not know bother,[],0.699,pos,,general_comment
93,Games it self are good but had to switch to ad free  original angry birds . Didn't like the ads interfering with the game.,game self good switch ad free   original angry bird like ad interfere game,[],0.536,pos,,return_request
94,got thr upgrade it was soooooooooooooooooo. fun lille fish not going to tell much get it it is free and fun,get thr upgrade soooooooooooooooooo fun lille fish go tell free fun,[],0.645,pos,,positive_feedback
95,"Hey it's Angry Birds, what's not to love!  Easy to use on my new Kindle HD and I could spend hours being angry at those dang birds for not stomping those pigs, first shot!",hey angry bird love   easy use new kindle hd spend hour angry dang bird stomp pig shot,"[('Angry Birds', 'ORG'), ('hours', 'TIME')]",0.698,neu,,positive_feedback
96,"I can't believe how  hard I try to hit the target and still can't make it, it's good to laugh at oneself and this game is good for that",believe   hard try hit target good laugh oneself game good,[],0.7,pos,,inquiry
97,I didn't like it at all .I think it is more for kids. I am really not into many games,like .i think kid game,[],0.9,neu,,return_request
98,"I got to the end of he pre-installed version. Confused, I checked online to see that my app was missing an entire level. One post suggested downloading a newer version. It crashes moments after it starts.",get end pre installed version confuse check online app miss entire level post suggest download new version crash moment start,"[('One', 'CARDINAL')]",0.883,neu,,negative_feedback
99,I hate it they say no at everything l got rid of it when it shut down my kindle it is stupid! !!!!!!!!!????$$$$$*&#9733;&#9733;*&#9733;,hate l get rid shut kindle stupid $ $ $ $ $ 9733;&#9733;*&#9733,"[('everything l got rid', 'ORG'), ('$$$$$*', 'MONEY'), ('9733;&#9733;*&#9733', 'MONEY')]",0.568,neu,9733,negative_feedback
